call_id,vessel,atracacao,dwt,product,berth_hours
1,LUCIO COSTA,2024-01-04,5097,"ABASTECIMENTO, GLP",40.48
2,TARUCA,2024-01-08,19983,"ABASTECIMENTO, GASOLINA",54.23
3,TARUCA,2024-01-12,19983,DIESEL,34.83
4,OCEAN ELECTRA,2024-01-12,47377,OLEO COMBUSTIVEL,22.87
5,GW FORTUNE,2024-01-13,55634,"DIESEL, DIESEL",85.3
6,ZUMBA,2024-01-13,50209,DIESEL,78.5
7,TORM ASLAUG,2024-01-20,49999,"GASOLINA, GASOLINA, GASOLINA",98.07
8,DARCY RIBEIRO,2024-01-20,5092,"ABASTECIMENTO, GLP",43.77
9,DARCY RIBEIRO,2024-01-31,5092,GLP,40.15
10,VELOS LEO,2024-02-01,49999,DIESEL,46.82
11,STAVANGER POSEIDON,2024-02-03,49999,DIESEL,86.65
12,ENDLESS SUMMER,2024-02-03,49999,DIESEL,48.6
13,STOLT SUN,2024-02-05,22198,SEBO,39.12
14,NAVE ORBIT,2024-02-05,49999,"DIESEL, DIESEL",98.25
15,SANTIAGO I,2024-02-07,49901,"DIESEL, DIESEL, GASOLINA, GASOLINA",60.28
16,DARCY RIBEIRO,2024-02-13,5092,GLP,40.02
17,LUCIO COSTA,2024-02-21,5097,"ABASTECIMENTO, GLP",36.65
18,MAERSK MALAGA,2024-02-23,51544,OLEO COMBUSTIVEL,22.88
19,LUCIO COSTA,2024-03-01,5097,GLP,31.93
20,MT SALSA,2024-03-05,47991,"DIESEL, DIESEL",61.22
21,OCEAN VENTURE,2024-03-06,49995,OLEO COMBUSTIVEL,31.9
22,SOLAR TINE,2024-03-08,49342,"ABASTECIMENTO, GASOLINA",71.92
23,NAVE ATRIA,2024-03-13,49992,"ABASTECIMENTO, DIESEL",60.3
24,TWEED,2024-03-17,49999,DIESEL,47.68
25,BOW GEMINI,2024-03-26,40895,SODA CÁUSTICA,53.15
26,BOND,2024-03-29,47470,"GASOLINA, GASOLINA, GASOLINA",34.82
27,BARBOSA LIMA SOBRINHO,2024-03-29,5079,"ABASTECIMENTO, GLP",44.25
28,ARCTOS,2024-03-31,49999,"ABASTECIMENTO, DIESEL, GASOLINA",65.73
29,SILVER GERTRUDE,2024-04-05,49746,"DIESEL, GASOLINA",74.2
30,MAERSK MALAGA,2024-04-08,51544,OLEO COMBUSTIVEL,23.47
31,MT SALSA,2024-04-11,47991,"DIESEL, DIESEL",55.25
32,BG AGNES,2024-04-20,16796,DIESEL,60.12
